dZ (in.),Camber (deg),Roll Center Height (in.)
-3.0,3.6910940806132158,6.218851925435586
-2.95,3.6310186608467103,6.166271034786879
-2.9,3.57057909930314,6.1141811560425845
-2.85,3.5097744969393463,6.062580908233194
-2.8,3.4486039311705796,6.011468985249746
-2.75,3.387066455950268,5.960844154859685
-2.7,3.3251611018453,5.910705257751884
-2.65,3.262886876106165,5.861051206609949
-2.6,3.2002427627316083,5.8118809852128726
-2.55,3.137227722529106,5.763193647562184
-2.5,3.073840693169499,5.714988317034794
-2.45,3.010080589238003,5.667264185560682
-2.4,2.945946302279448,5.62002051282464
-2.35,2.8814367008397284,5.573256625491347
-2.3,2.8165506305022214,5.5269719164529745
-2.25,2.7512869139199405,5.481165844098667
-2.2,2.685644350843231,5.435837931605127
-2.15,2.619621718143144,5.390987766247665
-2.1,2.5532177698305016,5.346614998731061
-2.05,2.486431237070839,5.302719342539537
-2.0,2.419260828194976,5.259300573305272
-1.95,2.351705228705865,5.216358528194796
-1.9,2.2837631012808774,5.173893105312703
-1.8499999999999999,2.2154330857706315,5.131904263122068
-1.7999999999999998,2.1467137991935155,5.090392019881017
-1.75,2.0776038357265376,5.049356453094895
-1.7,2.0081017666918934,5.008797698983464
-1.65,1.9382061405405215,4.968715951962626
-1.5999999999999999,1.8679154828311484,4.929111464140144
-1.5499999999999998,1.797228296205895,4.889984544824836
-1.5,1.7261430603624497,4.851335560048756
-1.45,1.654658232021931,4.813164932101872
-1.4,1.5827722448941386,4.77547313907876
-1.3499999999999999,1.5104835096381213,4.73826071443684
-1.2999999999999998,1.4377904138202484,4.701528246565693
-1.25,1.3646913218679342,4.6652763783669915
-1.2,1.2911845750203623,4.629505806844627
-1.15,1.217268491275786,4.594217282704558
-1.0999999999999999,1.1429413653350764,4.559411609963975
-1.0499999999999998,1.0682014685421923,4.52508964556932
-1.0,0.9930470488213051,4.491252299022786
-0.9499999999999997,0.9174763306101524,4.457900532016818
-0.8999999999999999,0.8414875147906232,4.425035358076281
-0.8500000000000001,0.7650787786158012,4.392657842207804
-0.7999999999999998,0.6882482756336316,4.360769100555971
-0.75,0.6109941356075784,4.329370300065916
-0.6999999999999997,0.5333144644337492,4.298462658151932
-0.6499999999999999,0.4552073440551464,4.268047442371727
-0.5999999999999996,0.3766708323723533,4.238125970105918
-0.5499999999999998,0.2977029631514969,4.20869960824237
-0.5,0.21830174592832063,4.1797697728650265
-0.44999999999999973,0.1384651659099807,4.15133792894681
-0.3999999999999999,0.058191183872918995,4.123405590046261
-0.34999999999999964,-0.022522263941752052,4.0959743180074915
-0.2999999999999998,-0.10367726593677046,4.069045722663104
-0.25,-0.185275935269468,4.0426214615397
-0.19999999999999973,-0.2673204099662113,4.016703239565592
-0.1499999999999999,-0.34981285303992665,3.9912928087803388
-0.09999999999999964,-0.43275545261042014,3.9663919680457695
-0.04999999999999982,-0.5161504220279428,3.9420025627580633
0.0,-0.6,3.91812648456057
0.050000000000000266,-0.6843064507209856,3.8947656710569465
0.10000000000000009,-0.7690720640049516,3.8719221055242765
0.15000000000000036,-0.8542991554216852,3.8495978166257627
0.20000000000000018,-0.9399900664353689,3.8277948781226443
0.25,-1.026147164546953,3.806515408584928
0.30000000000000027,-1.1127728434390396,3.78576157110061
0.3500000000000001,-1.1998695231240761,3.7655355729829125
0.40000000000000036,-1.2874396500957261,3.7458396654752724
0.4500000000000002,-1.3754856974830938,3.726676143453587
0.5,-1.4640101652081816,3.708047345125398
0.5500000000000003,-1.5530155801463423,3.6899556517255965
0.6000000000000001,-1.6425044962899662,3.672403487208271
0.6500000000000004,-1.732479494914866,3.655393317934263
0.7000000000000002,-1.8229431847504358,3.6389276523541234
0.75,-1.9138982021523008,3.6230090406859348
0.8000000000000003,-2.005347211278225,3.607640074587739
0.8500000000000001,-2.097292904267398,3.592823386824035
0.9000000000000004,-2.18973800142256,3.578561650926033
0.9500000000000002,-2.282685251395365,3.564857580845191
