t,YawGradient,Roll,FL normal force,FR normal force,RL normal force,RR normal force
0.0,[-1.01257291],0.0,120.0,120.0,170.0,170.0
0.010000000000000002,[-1.03118915],[0.02770385],[119.90154227],[120.09845773],[170.3177405],[169.6822595]
0.020000000000000004,[-1.06037122],[0.06736629],[119.74008395],[120.25991605],[170.8388002],[169.1611998]
0.03,[-1.09913194],[0.10887623],[119.57019588],[120.42980412],[171.38707143],[168.61292857]
0.04000000000000001,[-1.14848825],[0.15186721],[119.39431616],[120.60568384],[171.95468672],[168.04531328]
0.05,[-1.21009784],[0.19670331],[119.21103713],[120.78896287],[172.54618991],[167.45381009]
0.06,[-1.28620987],[0.24386307],[119.01842952],[120.98157048],[173.16780846],[166.83219154]
0.06999999999999999,[-1.37983868],[0.29391824],[118.81418789],[121.18581211],[173.82698444],[166.17301556]
0.08000000000000002,[-1.49504457],[0.34756165],[118.59552406],[121.40447594],[174.53271848],[165.46728152]
0.09000000000000001,[-1.63735577],[0.4056494],[118.35899941],[121.64100059],[175.29611122],[164.70388878]
0.1,[-1.81441261],[0.46926094],[118.10028734],[121.89971266],[176.13113046],[163.86886954]
0.11000000000000001,[-2.03697619],[0.53978574],[117.81383027],[122.18616973],[177.05571858],[162.94428142]
0.12,[-2.3205556],[0.61905245],[117.49233106],[122.50766894],[178.09343491],[161.90656509]
0.13,[-2.68812695],[0.70952665],[117.12597598],[122.87402402],[179.27596511],[160.72403489]
0.13999999999999999,[-3.17486816],[0.81462473],[116.70120638],[123.29879362],[180.64708801],[159.35291199]
0.15000000000000002,[-3.83681639],[0.93923219],[116.19869908],[123.80130092],[182.26919854],[157.73080146]
0.16000000000000003,[-4.76765549],[1.09060123],[115.58988678],[124.41011322],[184.23454688],[155.76545312]
0.17,[-6.13369651],[1.27999756],[114.83061472],[125.16938528],[186.68572943],[153.31427057]
0.18000000000000002,[-8.25365874],[1.52594602],[113.84873813],[126.15126187],[189.85575777],[150.14424223]
0.19,[-11.8032702],[1.8612432],[112.51760253],[127.48239747],[194.15374848],[145.84625152]
0.2,[-18.43064116],[2.35009037],[110.59216746],[129.40783254],[200.37135947],[139.62864053]
0.21000000000000002,[-33.09572807],[3.13799406],[107.52685355],[132.47314645],[210.27682354],[129.72317646]
0.22000000000000003,[-77.04906292],[4.64311188],[101.80082089],[138.19917911],[228.79364761],[111.20635239]
0.22999999999999998,[-349.98253274],[8.80435765],[86.84510722],[153.15489278],[277.3063509],[62.6936491]
0.24,[-397818.69900863],[111.42375015],0,[331.83946754],[979.89339702],0
